Logical address: 16916		 Physical address: 20		 value: 0
Logical address: 62493		 Physical address: 285		 value: 0
Logical address: 30198		 Physical address: 758		 value: 29
Logical address: 53683		 Physical address: 947		 value: 108
Logical address: 40185		 Physical address: 1273		 value: 0
Logical address: 28781		 Physical address: 1389		 value: 0
Logical address: 24462		 Physical address: 1678		 value: 23
Logical address: 48399		 Physical address: 1807		 value: 67
Logical address: 64815		 Physical address: 2095		 value: 75
Logical address: 18295		 Physical address: 2423		 value: -35
Logical address: 12218		 Physical address: 2746		 value: 11
Logical address: 22760		 Physical address: 3048		 value: 0
Logical address: 57982		 Physical address: 3198		 value: 56
Logical address: 27966		 Physical address: 3390		 value: 27
Logical address: 54894		 Physical address: 3694		 value: 53
Logical address: 38929		 Physical address: 3857		 value: 0
Logical address: 32865		 Physical address: 4193		 value: 0
Logical address: 64243		 Physical address: 4595		 value: -68
Logical address: 2315		 Physical address: 4619		 value: 66
Logical address: 64454		 Physical address: 5062		 value: 62
Logical address: 55041		 Physical address: 5121		 value: 0
Logical address: 18633		 Physical address: 5577		 value: 0
Logical address: 14557		 Physical address: 5853		 value: 0
Logical address: 61006		 Physical address: 5966		 value: 59
Logical address: 62615		 Physical address: 407		 value: 37
Logical address: 7591		 Physical address: 6311		 value: 105
Logical address: 64747		 Physical address: 6635		 value: 58
Logical address: 6727		 Physical address: 6727		 value: -111
Logical address: 32315		 Physical address: 6971		 value: -114
Logical address: 60645		 Physical address: 7397		 value: 0
Logical address: 6308		 Physical address: 7588		 value: 0
Logical address: 45688		 Physical address: 7800		 value: 0
Logical address: 969		 Physical address: 8137		 value: 0
Logical address: 40891		 Physical address: 8379		 value: -18
Logical address: 49294		 Physical address: 8590		 value: 48
Logical address: 41118		 Physical address: 8862		 value: 40
Logical address: 21395		 Physical address: 9107		 value: -28
Logical address: 6091		 Physical address: 9419		 value: -14
Logical address: 32541		 Physical address: 9501		 value: 0
Logical address: 17665		 Physical address: 9729		 value: 0
Logical address: 3784		 Physical address: 10184		 value: 0
Logical address: 28718		 Physical address: 1326		 value: 28
Logical address: 59240		 Physical address: 10344		 value: 0
Logical address: 40178		 Physical address: 1266		 value: 39
Logical address: 60086		 Physical address: 10678		 value: 58
Logical address: 42252		 Physical address: 10764		 value: 0
Logical address: 44770		 Physical address: 11234		 value: 43
Logical address: 22514		 Physical address: 11506		 value: 21
Logical address: 3067		 Physical address: 11771		 value: -2
Logical address: 15757		 Physical address: 11917		 value: 0
Logical address: 31649		 Physical address: 12193		 value: 0
Logical address: 10842		 Physical address: 12378		 value: 10
Logical address: 43765		 Physical address: 12789		 value: 0
Logical address: 33405		 Physical address: 12925		 value: 0
Logical address: 44954		 Physical address: 13210		 value: 43
Logical address: 56657		 Physical address: 13393		 value: 0
Logical address: 5003		 Physical address: 13707		 value: -30
Logical address: 50227		 Physical address: 13875		 value: 12
Logical address: 19358		 Physical address: 14238		 value: 18
Logical address: 36529		 Physical address: 14513		 value: 0
Logical address: 10392		 Physical address: 14744		 value: 0
Logical address: 58882		 Physical address: 14850		 value: 57
Logical address: 5129		 Physical address: 15113		 value: 0
Logical address: 58554		 Physical address: 15546		 value: 57
Logical address: 58584		 Physical address: 15576		 value: 0
Logical address: 27444		 Physical address: 15668		 value: 0
Logical address: 58982		 Physical address: 14950		 value: 57
Logical address: 51476		 Physical address: 15892		 value: 0
Logical address: 6796		 Physical address: 6796		 value: 0
Logical address: 21311		 Physical address: 9023		 value: -49
Logical address: 30705		 Physical address: 16369		 value: 0
Logical address: 28964		 Physical address: 16420		 value: 0
Logical address: 41003		 Physical address: 8747		 value: 10
Logical address: 20259		 Physical address: 16675		 value: -56
Logical address: 57857		 Physical address: 3073		 value: 0
Logical address: 63258		 Physical address: 16922		 value: 61
Logical address: 36374		 Physical address: 14358		 value: 35
Logical address: 692		 Physical address: 17332		 value: 0
Logical address: 43121		 Physical address: 17521		 value: 0
Logical address: 48128		 Physical address: 17664		 value: 0
Logical address: 34561		 Physical address: 17921		 value: 0
Logical address: 49213		 Physical address: 8509		 value: 0
Logical address: 36922		 Physical address: 18234		 value: 36
Logical address: 59162		 Physical address: 10266		 value: 57
Logical address: 50552		 Physical address: 18552		 value: 0
Logical address: 17866		 Physical address: 9930		 value: 17
Logical address: 18145		 Physical address: 18913		 value: 0
Logical address: 3884		 Physical address: 18988		 value: 0
Logical address: 54388		 Physical address: 19316		 value: 0
Logical address: 42932		 Physical address: 19636		 value: 0
Logical address: 46919		 Physical address: 19783		 value: -47
Logical address: 58892		 Physical address: 14860		 value: 0
Logical address: 8620		 Physical address: 20140		 value: 0
Logical address: 38336		 Physical address: 20416		 value: 0
Logical address: 64357		 Physical address: 4965		 value: 0
Logical address: 23387		 Physical address: 20571		 value: -42
Logical address: 42632		 Physical address: 20872		 value: 0
Logical address: 15913		 Physical address: 21033		 value: 0
Logical address: 15679		 Physical address: 11839		 value: 79
Logical address: 22501		 Physical address: 11493		 value: 0
Logical address: 37540		 Physical address: 21412		 value: 0
Logical address: 5527		 Physical address: 21655		 value: 101
Logical address: 63921		 Physical address: 21937		 value: 0
Logical address: 62716		 Physical address: 508		 value: 0
Logical address: 32874		 Physical address: 4202		 value: 32
Logical address: 64390		 Physical address: 4998		 value: 62
Logical address: 63101		 Physical address: 22141		 value: 0
Logical address: 61802		 Physical address: 22378		 value: 60
Logical address: 19648		 Physical address: 22720		 value: 0
Logical address: 29031		 Physical address: 16487		 value: 89
Logical address: 44981		 Physical address: 13237		 value: 0
Logical address: 28092		 Physical address: 3516		 value: 0
Logical address: 9448		 Physical address: 23016		 value: 0
Logical address: 44744		 Physical address: 11208		 value: 0
Logical address: 61496		 Physical address: 23096		 value: 0
Logical address: 31453		 Physical address: 23517		 value: 0
Logical address: 60746		 Physical address: 23626		 value: 59
Logical address: 12199		 Physical address: 2727		 value: -23
Logical address: 62255		 Physical address: 23855		 value: -53
Logical address: 21793		 Physical address: 24097		 value: 0
Logical address: 26544		 Physical address: 24496		 value: 0
Logical address: 14964		 Physical address: 24692		 value: 0
Logical address: 41462		 Physical address: 25078		 value: 40
Logical address: 56089		 Physical address: 25113		 value: 0
Logical address: 52038		 Physical address: 25414		 value: 50
Logical address: 47982		 Physical address: 25710		 value: 46
Logical address: 59484		 Physical address: 25948		 value: 0
Logical address: 50924		 Physical address: 26348		 value: 0
Logical address: 6942		 Physical address: 26398		 value: 6
